epoch,time,train_loss,val_loss,train_ppl,val_ppl,val_bpc,train_bpc,memalloc_Gb,memcache_Gb,max_memalloc_Gb,max_memcache_Gb
63,1106.7652568817139,4.845017730623912,5.0995443041226975,127.10553563420709,163.947180220662,7.357087278351376,6.989883052990217,0.68747264,3.424256,3.32726016,3.424256
64,1173.0839216709137,4.821823990891417,5.082653509429195,124.19140831407508,161.201237917048,7.3327190126103865,6.9564215596984775,0.68747264,3.424256,3.32726016,3.424256
65,1263.9468672275543,4.818462164511291,5.080751611509393,123.77459937362573,160.89494098306324,7.32997515391321,6.95157146945154,0.68747264,3.424256,3.32726016,3.424256
66,1134.000508069992,4.811580754438648,5.074538582413055,122.92577948718517,159.89839502350105,7.321011647647025,6.941643693265415,0.68747264,3.424256,3.32726016,3.424256
67,1142.9470129013062,4.7936750539506,5.0648546746535645,120.74429607593729,158.35742705344205,7.307040721945982,6.915811227967665,0.68747264,3.424256,3.32726016,3.424256
68,1150.904858827591,4.790101490274237,5.064449377941963,120.3135787017018,158.2932583135676,7.306456002390066,6.910655665373476,0.68747264,3.424256,3.32726016,3.424256
69,1187.6999025344849,4.782692366316288,5.061123915212666,119.42545465664884,157.76773427235415,7.301658373801848,6.899966558982011,0.68747264,3.424256,3.32726016,3.424256
70,1230.6410183906555,4.763138512010525,5.043445079540669,117.11290998033667,155.00309423720495,7.276153205249168,6.871756310344821,0.68747264,3.424256,3.32726016,3.424256
71,1386.3239514827728,4.764462977720529,5.048904536246995,117.26812477945406,155.85164111438462,7.284029536365331,6.873667110456472,0.68747264,3.424256,3.32726016,3.424256
72,1432.1047258377075,4.750753864286261,5.040664861543022,115.67145224353165,154.57275034702926,7.2721421985313714,6.853889040489868,0.68747264,3.424256,3.32726016,3.424256
73,1439.7521936893463,4.746350718152404,5.036259463915244,115.16325359331536,153.8932936566582,7.265786553220632,6.847536643398243,0.68747264,3.424256,3.32726016,3.424256
74,1466.8349180221558,4.746690207197636,5.040685163916434,115.20235689351905,154.5758885725827,7.272171488664811,6.848026422560236,0.68747264,3.424256,3.32726016,3.424256
75,1468.2525615692139,4.716841819133092,5.0163900045835135,111.81456383898266,150.86569509633492,7.2371209827776,6.804964301120989,0.68747264,3.424256,3.32726016,3.424256
76,1479.184338569641,4.709016540750825,5.011151374954501,110.94299831868358,150.0774321076325,7.229563237790769,6.793674810805316,0.68747264,3.424256,3.32726016,3.424256
77,1484.2587270736694,4.706554872995475,5.013064205727345,110.67022938802519,150.36477957400035,7.232322869260812,6.790123374942357,0.68747264,3.424256,3.32726016,3.424256
78,1491.8688387870789,4.703155632163892,5.008909233611614,110.29467328988453,149.74131424515824,7.226328511594414,6.785219307051844,0.68747264,3.424256,3.32726016,3.424256
